label1,af,rivercelltype
Art1,ct,Endothelial
Art2,ct,Endothelial
Art3,ct,Endothelial
AstroAQP1,ct,Astrocyte
AstroPLCG1,ct,Astrocyte
AstroSERPINI2,ct,Astrocyte
Bcell,ct,Lymphoid
Bcell_plasma,ct,Lymphoid
CD4,ct,Lymphoid
CD8,ct,Lymphoid
CD8_6_1_3,ct,Lymphoid
DC,ct,Myeloid
DC_mig,ct,Myeloid
Endo_cap,ct,Endothelial
FBMC,ct,Fibroblast
Fibroblast,ct,Fibroblast
gbmEndo_9_1,ct,Endothelial
gbmEndo_9_1a,ct,Endothelial
gbmEndo_9_3,ct,Endothelial
gbmEndo_9_4,ct,Endothelial
gbmEndoPeri_1,ct,Pericyte
gbmEndoPeri_2,ct,Pericyte
gbmFib_4,ct,Fibroblast
gbmFib_5,ct,Fibroblast
gbmFib_6,ct,Fibroblast
gbmPeri,ct,Pericyte
Granulocyte,ct,Myeloid
Mac_5_1_2,ct,Myeloid
Mac_5_1_3,ct,Myeloid
Mac_prolif,ct,Myeloid
Mg_1_1,ct,Microglia
Mg_1_3,ct,Microglia
Mg_prolif,ct,Microglia
Monocyte,ct,Myeloid
Monocyte_Nc,ct,Myeloid
Neurons_Ex,ct,Neuron
Neurons_In,ct,Neuron
NKT,ct,Lymphoid
Oligo_2_1,ct,Oligo_OPC
Oligo_2_2,ct,Oligo_OPC
Oligo_2_3_1,ct,Oligo_OPC
Oligo_2_3_2,ct,Oligo_OPC
OPC,ct,Oligo_OPC
Pericyte,ct,Pericyte
RBC,ct,RBC
SMC,ct,Pericyte
TC_AC,ct,Neoplastic
TC_mesh,ct,Neoplastic
TC_mesnh,ct,Neoplastic
TC_MTC,ct,Neoplastic
TC_NPC,ct,Neoplastic
TC_oligo,ct,Neoplastic
TC_OPC,ct,Neoplastic
TC_prolif,ct,Neoplastic
Tcell_prolif,ct,Lymphoid
Treg,ct,Lymphoid
Venous,ct,Endothelial
Venule,ct,Endothelial
LE_GM,LE_GM,af
LE_WM,LE_WM,af
CT_control,CT_control,af
CT,CT,af
PNZ_ccGSC,PNZ_ccGSC,af
PAN,PAN,af
MVP,MVP,af
HBV_ccGSC,HBV_ccGSC,af
