,celltype,major_celltype,label,Neurons_In,Neurons_Ex,Oligo_2_3_2,Oligo_2_3_1,Oligo_2_2,Oligo_2_1,OPC,AstroSERPINI2,AstroPLCG1,AstroAQP1,TC_prolif,TC_OPC,TC_oligo,TC_NPC,TC_AC,TC_mesnh,TC_mesh,Mg_prolif,Mg_1_3,Mg_1_1,Granulocyte,Monocyte_Nc,Monocyte,Mac_prolif,Mac_5_1_3,Mac_5_1_2,DC_mig,DC,NKT,Treg,Tcell_prolif,CD8_TRM,CD8,CD4,Bcell_plasma,Bcell,gbmFib_6,gbmFib_5,gbmFib_4,Fibroblast,FBMC,gbmEndoPeri_2,gbmEndoPeri_1,gbmPeri,Pericyte,SMC,gbmEndo_9_4,gbmEndo_9_3,gbmEndo_9_1a,gbmEndo_9_1,Endo_cap,Venule,Venous,Art3,Art2,Art1
CEACAM8,Neurons_In,Neurons,,6.39694156267175,1.91455775444735,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,2.84027352724165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165,-0.210410808384165
CHRM3,Neurons_In,Neurons,,6.24788467564877,3.54386600366557,-0.275319890160669,-0.2811661839872,-0.2811661839872,-0.27116915650256,0.0361103226267948,0.0883840773536824,-0.17943925828705,-0.17702849708201,0.108573655260283,-0.0014788312010613,-0.142998448302241,-0.188062235766025,-0.181243067042613,0.586619802502162,0.129256249761481,-0.2811661839872,-0.2811661839872,-0.2811661839872,-0.2811661839872,-0.197765544708177,-0.2811661839872,-0.257780081023713,-0.2811661839872,-0.272460043504762,-0.2811661839872,-0.271449202932796,-0.2811661839872,-0.2811661839872,-0.260925414299824,-0.275908106172559,-0.2811661839872,-0.275585584783603,-0.2811661839872,-0.2811661839872,-0.2811661839872,-0.263005343675621,0.371066532752595,-0.273148133701263,-0.265487704793532,-0.2811661839872,-0.2811661839872,-0.254494758518263,-0.0516499158847604,-0.250686650324515,-0.2811661839872,-0.231047028667644,-0.137437861676953,-0.216601483304792,-0.2811661839872,-0.253688600244853,-0.192402158895474,-0.196641407011419,0.0645745709696335,-0.0192739863154183
CNTNAP2,Neurons_In,Neurons,,4.88541108030219,4.45852548870589,0.190484663768952,0.602125835613236,0.126379380342828,0.116150547281604,2.2230767778535,0.513419928925825,0.605675946973056,0.29338261206475,-0.359449891221584,-0.0981947200428118,-0.279605133967175,-0.194673353241308,-0.0611757739007182,-0.397098933536685,-0.384163116184764,-0.247170797886155,-0.289557963087241,-0.278515036240835,-0.386450628308461,-0.397098933536685,-0.387661437002807,-0.371549503251065,-0.386331846037871,-0.390656103940849,-0.397098933536685,-0.386751296323239,-0.387676838263369,-0.391352279682012,-0.383707938705114,-0.393405373064961,-0.393379341133976,-0.393434833001408,-0.26326413327771,-0.218377156386363,-0.378513424186759,-0.386220300133141,-0.384418728313818,-0.172252299528699,-0.304752043505503,-0.260556014124071,-0.363198563349058,-0.353871842602181,0.448626350774754,-0.265891967383619,-0.331188250148403,-0.348309453294739,-0.353118001344795,-0.273681372675177,-0.366604039905664,-0.172796025911025,-0.223239861113275,-0.356667616985162,-0.29788818498236,-0.352289328357274
CSMD1,Neurons_In,Neurons,,4.05264767484731,4.01998921244631,-0.35478959926236,-0.35916172045051,-0.357837158227805,-0.355869478944321,4.0077217578937,0.73453704819312,0.490021369811842,0.432104769389661,-0.0884647679016895,0.447243532214143,0.0547316157310242,0.144438595183329,-0.0494750384160061,-0.21581310677737,-0.289321494130524,-0.379965743636196,-0.379965743636196,-0.376844214753384,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.377523322425572,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.379965743636196,-0.361279911599574,-0.379965743636196,-0.270938688390571,-0.310344934486356,-0.218862833874419,-0.296647453653361,-0.368308837936533,-0.0898839046072227,-0.265891404892306,-0.374163542686809,-0.370501426880669,-0.379965743636196,-0.339441924792561,-0.356918506577977,0.267141134536627,-0.149517376913034,-0.227457904363669,-0.117975903971567,-0.108027380606985
DCX,Neurons_In,Neurons,DCX,4.21431312172591,3.2763759383228,-0.345812246857231,-0.286601785442633,-0.351961262685169,-0.344982005146637,0.76796127661755,-0.366794965769996,-0.293964737288238,-0.122701703067939,1.05209242722791,1.59781446337571,1.68180040949427,3.70162463539796,0.0912739302109747,-0.254774586801792,-0.135210646935784,-0.34931408591933,-0.366794965769996,-0.360794017557956,-0.358294851577441,-0.366794965769996,-0.366794965769996,-0.366794965769996,-0.359889390465844,-0.352162854225447,-0.366794965769996,-0.352832561959212,-0.366794965769996,-0.314531743787697,-0.30216053436567,-0.351503183997417,-0.366794965769996,-0.359469648088183,-0.366794965769996,-0.366794965769996,-0.366794965769996,-0.366794965769996,-0.35736246483955,-0.344522772028459,-0.366794965769996,-0.303780661298502,-0.314107698436268,-0.359436828089741,-0.346229918491418,-0.366794965769996,-0.357958210404738,-0.366794965769996,-0.366794965769996,-0.333406555674883,-0.366794965769996,-0.366794965769996,-0.366794965769996,-0.366794965769996,-0.366794965769996,-0.366794965769996
GRIN2B,Neurons_In,Neurons,,4.84589829757536,4.66399894801969,-0.261259005555993,-0.257692786301847,-0.261259005555993,-0.257290510118962,2.59576391369422,0.0918425390537683,-0.121741192342406,-0.213394759935402,-0.139035468557134,0.00380062385176323,-0.154117716846485,-0.0351501462746871,-0.213135801315258,-0.163710108079566,-0.229511434649817,-0.24413556115714,-0.256820215264071,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.256953064396066,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.246322099151275,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.251781315363953,-0.247992649980705,-0.261259005555993,-0.261259005555993,-0.248711280335219,-0.25577121452469,-0.261259005555993,-0.261259005555993,-0.254385361552904,-0.249401795701634,-0.251851678866602,-0.261259005555993,-0.261259005555993,-0.261259005555993,-0.247266173530635,-0.261259005555993,-0.261259005555993,-0.193158069976201,-0.193596553088281,-0.235882849132056,-0.251019376851975
GRIP1,Neurons_In,Neurons,,5.2332965662396,4.31257131916973,-0.306603440919591,-0.294801194980086,-0.309803788302564,-0.309803788302564,1.27318071340367,0.977745068754264,0.506763991503513,1.4601392431027,-0.302616226644663,-0.301781404866615,-0.284775414238754,-0.297986173539089,-0.301515662629662,-0.309803788302564,-0.309803788302564,-0.309803788302564,-0.305360460044684,-0.309803788302564,-0.309803788302564,-0.309803788302564,-0.309803788302564,-0.309803788302564,-0.306064588798364,-0.306308344962441,-0.309803788302564,-0.292662533663746,-0.309803788302564,-0.303136925741182,-0.309803788302564,-0.309803788302564,-0.309803788302564,-0.300264712863745,-0.213779619616654,-0.309803788302564,-0.300934044675137,-0.303369560276929,-0.245275473613095,0.102057254209373,-0.164439911191628,-0.274699186091921,-0.309803788302564,-0.305331226598787,-0.112440907236333,-0.180279542991744,-0.298222165533468,-0.302062914469453,-0.309803788302564,-0.309803788302564,-0.299283040283213,-0.233929522672449,-0.122111216304388,-0.255996707510361,-0.238366989910255,-0.225083065765688
IGF1,Neurons_In,Neurons,,5.51728750864048,-0.329659416084529,-0.433242461727685,-0.447918892392327,-0.481519708430783,-0.481519708430783,-0.481519708430783,-0.356918205939445,-0.481519708430783,-0.481519708430783,-0.431812482328675,-0.465334020044787,-0.445867913281579,-0.453762496342839,-0.422893294437312,-0.419073655179486,-0.449109453426403,1.97065912830408,0.681923075769814,1.59593828856064,-0.388948475371148,-0.481519708430783,-0.443462965314222,-0.0271623919641012,-0.0422413259101899,1.14718408868782,-0.481519708430783,-0.249958858473339,-0.442085497030135,-0.411860645480905,-0.310103078885215,-0.411333415765509,-0.406112028997655,-0.408674992290076,1.47278851040595,-0.238887718562209,0.442836804736856,0.105635963394148,2.06432383772435,1.18527083311122,-0.38096114033428,-0.203915876931,-0.260584870624498,-0.363677376178028,-0.426633503937464,-0.427470754344443,1.0486151461409,-0.0610946684768651,-0.273477921681775,-0.366168044144391,-0.370230468847067,-0.481519708430783,-0.481519708430783,-0.481519708430783,-0.365108082008068,-0.481519708430783
NRXN3,Neurons_In,Neurons,,5.00397029191432,4.45235210795782,-0.0950921074016358,0.0662886283063096,-0.0376468944351462,-0.121599623498422,2.07425264988902,0.836276528582271,0.437259386049136,0.645678321854683,-0.279837546338406,-0.00729067268089343,-0.309437176978155,-0.136752473838728,-0.181099026009947,-0.191432837627262,-0.200145571615325,-0.360462552318851,-0.376248228731814,-0.373349185023208,-0.376248228731814,-0.376248228731814,-0.376248228731814,-0.376248228731814,-0.370780676241624,-0.376248228731814,-0.376248228731814,-0.364761428442483,-0.376248228731814,-0.376248228731814,-0.376248228731814,-0.37266767119033,-0.376248228731814,-0.372699571331961,-0.376248228731814,-0.368227714549432,-0.355715791626834,-0.310656575419311,-0.176272763725675,0.0518720625829657,-0.137646286886945,-0.35644993092171,-0.376248228731814,-0.330564144546947,0.0287714031520648,-0.120850512473227,-0.360087784572143,-0.349460493239013,-0.376248228731814,-0.368388550124803,-0.356846632399556,-0.225349753157443,-0.0928303618037079,-0.206733400728847,-0.31739475380832,-0.120715713086892
B4GALNT1,Neurons_Ex,Neurons,,3.04142818777137,4.13627694879022,-0.280333064430344,-0.447801518640284,-0.469647551077998,-0.539033808690893,-0.539033808690893,-0.0858898940660351,-0.349565422106924,-0.145166602553373,2.82921309198022,0.520750090186033,0.593112634044568,2.24471962803438,-0.33735348375904,-0.115427340765281,-0.127399067911521,-0.539033808690893,-0.539033808690893,-0.539033808690893,-0.539033808690893,-0.539033808690893,-0.539033808690893,-0.479406132722159,-0.52300840606264,-0.528054874543784,0.211264959907631,-0.539033808690893,-0.539033808690893,-0.539033808690893,-0.477964798946679,-0.539033808690893,-0.520521596212426,-0.539033808690893,-0.539033808690893,-0.539033808690893,-0.222152729522899,0.59163583580923,-0.475238689621104,-0.460262929909266,-0.301750500131533,0.862350977737125,-0.0104124440273322,1.13267494213908,1.04133404328986,-0.219086739708022,-0.405260264992724,1.57886050314588,-0.539033808690893,-0.460811863294547,-0.472086636423531,-0.405856178109543,-0.36201884616235,-0.539033808690893,-0.48591423007823,-0.451655289310862
