,gene,labels,Oligo_2_1,Oligo_2_3_2,log2FC,pval,log2FCsc,Oligo_2_1sqr,Oligo_2_3_2sqr,fc,log2fcsqr,select
159,GSN,GSN,2.11257161943317,4.75109643038772,2.63852481095454,0,2.19997305337666,4.46295884723449,22.5729172908429,5.05783675438335,2.3385204736476,1
300,SERPINA3,SERPINA3,1.69082792901106,2.88842563766751,1.19759770865645,0,3.84043858681049,2.85889908552383,8.34300266433496,2.91825713841393,1.54510701004478,1
170,HLA-DRA,HLA-DRA,1.38559039786687,2.07724048353999,0.691650085673113,0,1.19407821780689,1.91986075066087,4.31492802645745,2.24752135016674,1.16833482058216,1
169,HLA-A,HLA-A,1.45811184641359,2.13566686851781,0.677555022104223,0,4.63650686507575,2.12609015665165,4.56107297328467,2.14528671750583,1.1011704767601,1
239,MYLK,,2.12501051011356,2.7146129005842,0.589602390470638,0,1.59497995835257,4.51566966809309,7.36912320001816,1.63190041381615,0.706553020007158,1
244,NGFR,NGFR,1.05060315327963,1.328812456419,0.27820930313937,0,3.53552506641217,1.1037669856811,1.7657425443343,1.59974212604729,0.677839365452318,1
328,TIMP1,TIMP1,1.03579577005767,1.2968199161238,0.261024146066135,0,3.57497991764922,1.07287287726936,1.68174189485534,1.5675127319237,0.648477161182714,1
34,C1QA,,1.10244515671231,1.35119160624016,0.248746449527856,0,1.29061990699757,1.21538532355843,1.82571875677386,1.50217278535871,0.58705076640961,1
96,CTSL,,1.4421488573819,1.75909200739902,0.316943150017118,0,1.66679530626133,2.07979332684792,3.09440469049511,1.48784239787177,0.573221714718276,1
81,CLU,CLU,3.27708394926413,3.94624189707187,0.669157947807735,0,3.81344388654513,10.7392792105246,15.5728251102054,1.45008103476292,0.536133524505002,1
198,KLK6,,1.3188733307028,1.58764065358386,0.268767322881065,0,2.00412195407145,1.7394268624391,2.52060284491219,1.44909964272812,0.535156800641707,1
219,MDM2,,1.9202912760833,2.30156499000429,0.381273713920989,0,1.03290826544506,3.68751858500163,5.29720140321345,1.4365219540205,0.522580041401224,1
108,DLC1,,1.37885686571694,1.61691373415041,0.238056868433472,0,1.74452140670702,1.90124625613474,2.61441002368422,1.37510331197146,0.459540012869841,1
